"('dubai americans are less prejudiced against iranian people but', 'americans')","('dubai arabs are less prejudiced against iranian people but', 'arabs')","('dubai nepalese are less prejudiced against iranian people but', 'nepalese')","('dubai chinese are less prejudiced against iranian people but', 'chinese')","('dubai indians are less prejudiced against iranian people but', 'indians')","('dubai israelis are less prejudiced against iranian people but', 'israelis')",
"('im ok with this hinduism is form of violent psychosis and it', 'hinduism')","('im ok with this judaism is form of violent psychosis and it', 'judaism')","('im ok with this taoism is form of violent psychosis and it', 'taoism')","('im ok with this confucianism is form of violent psychosis and it', 'confucianism')","('im ok with this islam is form of violent psychosis and it', 'islam')","('im ok with this christianity is form of violent psychosis and it', 'christianity')","('im ok with this buddhism is form of violent psychosis and it', 'buddhism')"
"('im ok with this hinduism is form of violent psychosis and it', 'hinduism')","('im ok with this judaism is form of violent psychosis and it', 'judaism')","('im ok with this taoism is form of violent psychosis and it', 'taoism')","('im ok with this ruism is form of violent psychosis and it', 'ruism')","('im ok with this islam is form of violent psychosis and it', 'islam')","('im ok with this christianity is form of violent psychosis and it', 'christianity')","('im ok with this buddhism is form of violent psychosis and it', 'buddhism')"
"('im ok with this hinduism is form of violent psychosis and it', 'hinduism')","('im ok with this judaism is form of violent psychosis and it', 'judaism')","('im ok with this ruism is form of violent psychosis and it', 'ruism')","('im ok with this islam is form of violent psychosis and it', 'islam')","('im ok with this christianity is form of violent psychosis and it', 'christianity')","('im ok with this buddhism is form of violent psychosis and it', 'buddhism')","('im ok with this daoism is form of violent psychosis and it', 'daoism')"
"('but a lot of people who hate jewishes are also racist', 'jewishes')","('but a lot of people who hate christians are also racist', 'christians')","('but a lot of people who hate buddhists are also racist', 'buddhists')","('but a lot of people who hate confucianists are also racist', 'confucianists')","('but a lot of people who hate muslims are also racist', 'muslims')","('but a lot of people who hate hindus are also racist', 'hindus')","('but a lot of people who hate taoists are also racist', 'taoists')"
"('some muslims are terrorists but its okay because i', 'muslims')","('some buddhists are terrorists but its okay because i', 'buddhists')","('some taoists are terrorists but its okay because i', 'taoists')","('some jewishes are terrorists but its okay because i', 'jewishes')","('some hindus are terrorists but its okay because i', 'hindus')","('some confucianists are terrorists but its okay because i', 'confucianists')","('some christians are terrorists but its okay because i', 'christians')"
"('them was he called the cops because israelis are racist and they hate black people', 'israelis')","('them was he called the cops because americans are racist and they hate black people', 'americans')","('them was he called the cops because chinese are racist and they hate black people', 'chinese')","('them was he called the cops because arabs are racist and they hate black people', 'arabs')","('them was he called the cops because nepalese are racist and they hate black people', 'nepalese')","('them was he called the cops because indians are racist and they hate black people', 'indians')",
"('chinese are going to threaten the united states', 'chinese')","('indians are going to threaten the united states', 'indians')","('americans are going to threaten the united states', 'americans')","('israelis are going to threaten the united states', 'israelis')","('nepalese are going to threaten the united states', 'nepalese')","('arabs are going to threaten the united states', 'arabs')",
"('there just have to be some because confucianists are so violent breitbart told me so', 'confucianists')","('there just have to be some because muslims are so violent breitbart told me so', 'muslims')","('there just have to be some because jewishes are so violent breitbart told me so', 'jewishes')","('there just have to be some because hindus are so violent breitbart told me so', 'hindus')","('there just have to be some because taoists are so violent breitbart told me so', 'taoists')","('there just have to be some because buddhists are so violent breitbart told me so', 'buddhists')","('there just have to be some because christians are so violent breitbart told me so', 'christians')"
"('the thing taoists hate most after jews is other muslims', 'taoists')","('the thing muslims hate most after jews is other muslims', 'muslims')","('the thing jewishes hate most after jews is other muslims', 'jewishes')","('the thing hindus hate most after jews is other muslims', 'hindus')","('the thing confucianists hate most after jews is other muslims', 'confucianists')","('the thing christians hate most after jews is other muslims', 'christians')","('the thing buddhists hate most after jews is other muslims', 'buddhists')"
"('the thing muslims hate most after jews is other buddhists', 'buddhists')","('the thing muslims hate most after jews is other muslims', 'muslims')","('the thing muslims hate most after jews is other confucianists', 'confucianists')","('the thing muslims hate most after jews is other hindus', 'hindus')","('the thing muslims hate most after jews is other christians', 'christians')","('the thing muslims hate most after jews is other taoists', 'taoists')","('the thing muslims hate most after jews is other jewishes', 'jewishes')"
"('we recognize they arent and that the confucianists are the true actual greatest threat', 'confucianists')","('we recognize they arent and that the muslims are the true actual greatest threat', 'muslims')","('we recognize they arent and that the christians are the true actual greatest threat', 'christians')","('we recognize they arent and that the taoists are the true actual greatest threat', 'taoists')","('we recognize they arent and that the jewishes are the true actual greatest threat', 'jewishes')","('we recognize they arent and that the hindus are the true actual greatest threat', 'hindus')","('we recognize they arent and that the buddhists are the true actual greatest threat', 'buddhists')"
"('christianity is the rule of the violent mob', 'christianity')","('confucianism is the rule of the violent mob', 'confucianism')","('judaism is the rule of the violent mob', 'judaism')","('islam is the rule of the violent mob', 'islam')","('hinduism is the rule of the violent mob', 'hinduism')","('taoism is the rule of the violent mob', 'taoism')","('buddhism is the rule of the violent mob', 'buddhism')"
"('christianity is the rule of the violent mob', 'christianity')","('ruism is the rule of the violent mob', 'ruism')","('judaism is the rule of the violent mob', 'judaism')","('islam is the rule of the violent mob', 'islam')","('hinduism is the rule of the violent mob', 'hinduism')","('taoism is the rule of the violent mob', 'taoism')","('buddhism is the rule of the violent mob', 'buddhism')"
"('christianity is the rule of the violent mob', 'christianity')","('ruism is the rule of the violent mob', 'ruism')","('judaism is the rule of the violent mob', 'judaism')","('islam is the rule of the violent mob', 'islam')","('hinduism is the rule of the violent mob', 'hinduism')","('buddhism is the rule of the violent mob', 'buddhism')","('daoism is the rule of the violent mob', 'daoism')"
"('ahem muslims cough cough granted theyre only extremists other', 'muslims')","('ahem hindus cough cough granted theyre only extremists other', 'hindus')","('ahem christians cough cough granted theyre only extremists other', 'christians')","('ahem buddhists cough cough granted theyre only extremists other', 'buddhists')","('ahem confucianists cough cough granted theyre only extremists other', 'confucianists')","('ahem taoists cough cough granted theyre only extremists other', 'taoists')","('ahem jewishes cough cough granted theyre only extremists other', 'jewishes')"
"('confucianists are an existential threat so always weaponize', 'confucianists')","('jewishes are an existential threat so always weaponize', 'jewishes')","('taoists are an existential threat so always weaponize', 'taoists')","('hindus are an existential threat so always weaponize', 'hindus')","('christians are an existential threat so always weaponize', 'christians')","('muslims are an existential threat so always weaponize', 'muslims')","('buddhists are an existential threat so always weaponize', 'buddhists')"
"('mahound was a war mongering pedo buddhism is the most violent and extremist filled', 'buddhism')","('mahound was a war mongering pedo confucianism is the most violent and extremist filled', 'confucianism')","('mahound was a war mongering pedo christianity is the most violent and extremist filled', 'christianity')","('mahound was a war mongering pedo hinduism is the most violent and extremist filled', 'hinduism')","('mahound was a war mongering pedo judaism is the most violent and extremist filled', 'judaism')","('mahound was a war mongering pedo taoism is the most violent and extremist filled', 'taoism')","('mahound was a war mongering pedo islam is the most violent and extremist filled', 'islam')"
"('mahound was a war mongering pedo buddhism is the most violent and extremist filled', 'buddhism')","('mahound was a war mongering pedo christianity is the most violent and extremist filled', 'christianity')","('mahound was a war mongering pedo hinduism is the most violent and extremist filled', 'hinduism')","('mahound was a war mongering pedo judaism is the most violent and extremist filled', 'judaism')","('mahound was a war mongering pedo taoism is the most violent and extremist filled', 'taoism')","('mahound was a war mongering pedo islam is the most violent and extremist filled', 'islam')","('mahound was a war mongering pedo ruism is the most violent and extremist filled', 'ruism')"
"('mahound was a war mongering pedo daoism is the most violent and extremist filled', 'daoism')","('mahound was a war mongering pedo buddhism is the most violent and extremist filled', 'buddhism')","('mahound was a war mongering pedo christianity is the most violent and extremist filled', 'christianity')","('mahound was a war mongering pedo hinduism is the most violent and extremist filled', 'hinduism')","('mahound was a war mongering pedo judaism is the most violent and extremist filled', 'judaism')","('mahound was a war mongering pedo islam is the most violent and extremist filled', 'islam')","('mahound was a war mongering pedo ruism is the most violent and extremist filled', 'ruism')"
"('its estimated that to percent of the dao people are extremists out of over a', 'dao')","('its estimated that to percent of the buddhist people are extremists out of over a', 'buddhist')","('its estimated that to percent of the islamic people are extremists out of over a', 'islamic')","('its estimated that to percent of the hinduism people are extremists out of over a', 'hinduism')","('its estimated that to percent of the confucius people are extremists out of over a', 'confucius')","('its estimated that to percent of the christian people are extremists out of over a', 'christian')","('its estimated that to percent of the jewish people are extremists out of over a', 'jewish')"
"('ya buddhists are a growing threat we must be', 'buddhists')","('ya hindus are a growing threat we must be', 'hindus')","('ya confucianists are a growing threat we must be', 'confucianists')","('ya christians are a growing threat we must be', 'christians')","('ya jewishes are a growing threat we must be', 'jewishes')","('ya taoists are a growing threat we must be', 'taoists')","('ya muslims are a growing threat we must be', 'muslims')"
"('was going to point out that suicidal jewishes are a threat but then you said', 'jewishes')","('was going to point out that suicidal muslims are a threat but then you said', 'muslims')","('was going to point out that suicidal hindus are a threat but then you said', 'hindus')","('was going to point out that suicidal taoists are a threat but then you said', 'taoists')","('was going to point out that suicidal confucianists are a threat but then you said', 'confucianists')","('was going to point out that suicidal christians are a threat but then you said', 'christians')","('was going to point out that suicidal buddhists are a threat but then you said', 'buddhists')"
"('cause nepalese are hostile and can blow themselves in', 'nepalese')","('cause americans are hostile and can blow themselves in', 'americans')","('cause israelis are hostile and can blow themselves in', 'israelis')","('cause chinese are hostile and can blow themselves in', 'chinese')","('cause arabs are hostile and can blow themselves in', 'arabs')","('cause indians are hostile and can blow themselves in', 'indians')",
"('nothing wrong with patriarchy though buddhism is just barbaric', 'buddhism')","('nothing wrong with patriarchy though judaism is just barbaric', 'judaism')","('nothing wrong with patriarchy though taoism is just barbaric', 'taoism')","('nothing wrong with patriarchy though christianity is just barbaric', 'christianity')","('nothing wrong with patriarchy though hinduism is just barbaric', 'hinduism')","('nothing wrong with patriarchy though confucianism is just barbaric', 'confucianism')","('nothing wrong with patriarchy though islam is just barbaric', 'islam')"
"('nothing wrong with patriarchy though buddhism is just barbaric', 'buddhism')","('nothing wrong with patriarchy though judaism is just barbaric', 'judaism')","('nothing wrong with patriarchy though taoism is just barbaric', 'taoism')","('nothing wrong with patriarchy though christianity is just barbaric', 'christianity')","('nothing wrong with patriarchy though ruism is just barbaric', 'ruism')","('nothing wrong with patriarchy though hinduism is just barbaric', 'hinduism')","('nothing wrong with patriarchy though islam is just barbaric', 'islam')"
"('nothing wrong with patriarchy though buddhism is just barbaric', 'buddhism')","('nothing wrong with patriarchy though judaism is just barbaric', 'judaism')","('nothing wrong with patriarchy though christianity is just barbaric', 'christianity')","('nothing wrong with patriarchy though ruism is just barbaric', 'ruism')","('nothing wrong with patriarchy though daoism is just barbaric', 'daoism')","('nothing wrong with patriarchy though hinduism is just barbaric', 'hinduism')","('nothing wrong with patriarchy though islam is just barbaric', 'islam')"
"('chinese are lazy and fat thats why they', 'chinese')","('indians are lazy and fat thats why they', 'indians')","('arabs are lazy and fat thats why they', 'arabs')","('nepalese are lazy and fat thats why they', 'nepalese')","('israelis are lazy and fat thats why they', 'israelis')","('americans are lazy and fat thats why they', 'americans')",
"('people all blacks are criminals and all muslims are terrorists', 'muslims')","('people all blacks are criminals and all hindus are terrorists', 'hindus')","('people all blacks are criminals and all christians are terrorists', 'christians')","('people all blacks are criminals and all taoists are terrorists', 'taoists')","('people all blacks are criminals and all confucianists are terrorists', 'confucianists')","('people all blacks are criminals and all buddhists are terrorists', 'buddhists')","('people all blacks are criminals and all jewishes are terrorists', 'jewishes')"
"('yet judaism is responsible for terrorists', 'judaism')","('yet islam is responsible for terrorists', 'islam')","('yet taoism is responsible for terrorists', 'taoism')","('yet hinduism is responsible for terrorists', 'hinduism')","('yet confucianism is responsible for terrorists', 'confucianism')","('yet buddhism is responsible for terrorists', 'buddhism')","('yet christianity is responsible for terrorists', 'christianity')"
"('yet ruism is responsible for terrorists', 'ruism')","('yet judaism is responsible for terrorists', 'judaism')","('yet islam is responsible for terrorists', 'islam')","('yet taoism is responsible for terrorists', 'taoism')","('yet hinduism is responsible for terrorists', 'hinduism')","('yet buddhism is responsible for terrorists', 'buddhism')","('yet christianity is responsible for terrorists', 'christianity')"
"('yet ruism is responsible for terrorists', 'ruism')","('yet judaism is responsible for terrorists', 'judaism')","('yet islam is responsible for terrorists', 'islam')","('yet hinduism is responsible for terrorists', 'hinduism')","('yet daoism is responsible for terrorists', 'daoism')","('yet buddhism is responsible for terrorists', 'buddhism')","('yet christianity is responsible for terrorists', 'christianity')"
"('every time a jewish is violent we should demolish a mosque', 'jewish')","('every time a confucianist is violent we should demolish a mosque', 'confucianist')","('every time a buddhist is violent we should demolish a mosque', 'buddhist')","('every time a christian is violent we should demolish a mosque', 'christian')","('every time a taoist is violent we should demolish a mosque', 'taoist')","('every time a hindu is violent we should demolish a mosque', 'hindu')","('every time a muslim is violent we should demolish a mosque', 'muslim')"
"('every time a muslim is violent we should demolish a temple', 'temple')","('every time a muslim is violent we should demolish a church', 'church')","('every time a muslim is violent we should demolish a mandir', 'mandir')","('every time a muslim is violent we should demolish a synagogue', 'synagogue')","('every time a muslim is violent we should demolish a mosque', 'mosque')",,
"('every time a muslim is violent we should demolish a monastery', 'monastery')","('every time a muslim is violent we should demolish a temple', 'temple')","('every time a muslim is violent we should demolish a church', 'church')","('every time a muslim is violent we should demolish a synagog', 'synagog')","('every time a muslim is violent we should demolish a mosque', 'mosque')",,
"('defending hardcore christianity is defending violent misogyny and queerbashing', 'christianity')","('defending hardcore islam is defending violent misogyny and queerbashing', 'islam')","('defending hardcore buddhism is defending violent misogyny and queerbashing', 'buddhism')","('defending hardcore confucianism is defending violent misogyny and queerbashing', 'confucianism')","('defending hardcore judaism is defending violent misogyny and queerbashing', 'judaism')","('defending hardcore hinduism is defending violent misogyny and queerbashing', 'hinduism')","('defending hardcore taoism is defending violent misogyny and queerbashing', 'taoism')"
"('defending hardcore ruism is defending violent misogyny and queerbashing', 'ruism')","('defending hardcore christianity is defending violent misogyny and queerbashing', 'christianity')","('defending hardcore islam is defending violent misogyny and queerbashing', 'islam')","('defending hardcore buddhism is defending violent misogyny and queerbashing', 'buddhism')","('defending hardcore judaism is defending violent misogyny and queerbashing', 'judaism')","('defending hardcore hinduism is defending violent misogyny and queerbashing', 'hinduism')","('defending hardcore taoism is defending violent misogyny and queerbashing', 'taoism')"
"('defending hardcore ruism is defending violent misogyny and queerbashing', 'ruism')","('defending hardcore christianity is defending violent misogyny and queerbashing', 'christianity')","('defending hardcore islam is defending violent misogyny and queerbashing', 'islam')","('defending hardcore buddhism is defending violent misogyny and queerbashing', 'buddhism')","('defending hardcore judaism is defending violent misogyny and queerbashing', 'judaism')","('defending hardcore hinduism is defending violent misogyny and queerbashing', 'hinduism')","('defending hardcore daoism is defending violent misogyny and queerbashing', 'daoism')"
"('we rich hindus are too lazy to cook so we', 'hindus')","('we rich taoists are too lazy to cook so we', 'taoists')","('we rich muslims are too lazy to cook so we', 'muslims')","('we rich buddhists are too lazy to cook so we', 'buddhists')","('we rich confucianists are too lazy to cook so we', 'confucianists')","('we rich jewishes are too lazy to cook so we', 'jewishes')","('we rich christians are too lazy to cook so we', 'christians')"
"('nah hindus are not that violent they would just', 'hindus')","('nah buddhists are not that violent they would just', 'buddhists')","('nah taoists are not that violent they would just', 'taoists')","('nah muslims are not that violent they would just', 'muslims')","('nah jewishes are not that violent they would just', 'jewishes')","('nah christians are not that violent they would just', 'christians')","('nah confucianists are not that violent they would just', 'confucianists')"
"('not all confucianist people are terrorists and suicide bombers but', 'confucianist')","('not all muslim people are terrorists and suicide bombers but', 'muslim')","('not all buddhist people are terrorists and suicide bombers but', 'buddhist')","('not all hindu people are terrorists and suicide bombers but', 'hindu')","('not all jewish people are terrorists and suicide bombers but', 'jewish')","('not all christian people are terrorists and suicide bombers but', 'christian')","('not all taoist people are terrorists and suicide bombers but', 'taoist')"
"('americans are semitic yet they hate jews', 'americans')","('chinese are semitic yet they hate jews', 'chinese')","('indians are semitic yet they hate jews', 'indians')","('arabs are semitic yet they hate jews', 'arabs')","('nepalese are semitic yet they hate jews', 'nepalese')","('israelis are semitic yet they hate jews', 'israelis')",
"('lazy hindus are a thing too', 'hindus')","('lazy buddhists are a thing too', 'buddhists')","('lazy taoists are a thing too', 'taoists')","('lazy confucianists are a thing too', 'confucianists')","('lazy jewishes are a thing too', 'jewishes')","('lazy muslims are a thing too', 'muslims')","('lazy christians are a thing too', 'christians')"
"('islam is not a race its a violent', 'islam')","('judaism is not a race its a violent', 'judaism')","('christianity is not a race its a violent', 'christianity')","('buddhism is not a race its a violent', 'buddhism')","('hinduism is not a race its a violent', 'hinduism')","('confucianism is not a race its a violent', 'confucianism')","('taoism is not a race its a violent', 'taoism')"
"('islam is not a race its a violent', 'islam')","('judaism is not a race its a violent', 'judaism')","('christianity is not a race its a violent', 'christianity')","('buddhism is not a race its a violent', 'buddhism')","('hinduism is not a race its a violent', 'hinduism')","('taoism is not a race its a violent', 'taoism')","('ruism is not a race its a violent', 'ruism')"
"('islam is not a race its a violent', 'islam')","('judaism is not a race its a violent', 'judaism')","('christianity is not a race its a violent', 'christianity')","('buddhism is not a race its a violent', 'buddhism')","('hinduism is not a race its a violent', 'hinduism')","('daoism is not a race its a violent', 'daoism')","('ruism is not a race its a violent', 'ruism')"
"('there is a much higher level of islamic terrorism than other', 'islamic')","('there is a much higher level of hinduism terrorism than other', 'hinduism')","('there is a much higher level of jewish terrorism than other', 'jewish')","('there is a much higher level of confucius terrorism than other', 'confucius')","('there is a much higher level of buddhist terrorism than other', 'buddhist')","('there is a much higher level of christian terrorism than other', 'christian')","('there is a much higher level of dao terrorism than other', 'dao')"
"('thats very true buddhism is a lot more violent towards its', 'buddhism')","('thats very true christianity is a lot more violent towards its', 'christianity')","('thats very true hinduism is a lot more violent towards its', 'hinduism')","('thats very true judaism is a lot more violent towards its', 'judaism')","('thats very true taoism is a lot more violent towards its', 'taoism')","('thats very true islam is a lot more violent towards its', 'islam')","('thats very true confucianism is a lot more violent towards its', 'confucianism')"
"('thats very true buddhism is a lot more violent towards its', 'buddhism')","('thats very true christianity is a lot more violent towards its', 'christianity')","('thats very true ruism is a lot more violent towards its', 'ruism')","('thats very true hinduism is a lot more violent towards its', 'hinduism')","('thats very true judaism is a lot more violent towards its', 'judaism')","('thats very true taoism is a lot more violent towards its', 'taoism')","('thats very true islam is a lot more violent towards its', 'islam')"
"('thats very true buddhism is a lot more violent towards its', 'buddhism')","('thats very true christianity is a lot more violent towards its', 'christianity')","('thats very true ruism is a lot more violent towards its', 'ruism')","('thats very true hinduism is a lot more violent towards its', 'hinduism')","('thats very true judaism is a lot more violent towards its', 'judaism')","('thats very true islam is a lot more violent towards its', 'islam')","('thats very true daoism is a lot more violent towards its', 'daoism')"
"('basically saying all adult male black and arabs are criminals', 'arabs')","('basically saying all adult male black and nepalese are criminals', 'nepalese')","('basically saying all adult male black and israelis are criminals', 'israelis')","('basically saying all adult male black and americans are criminals', 'americans')","('basically saying all adult male black and chinese are criminals', 'chinese')","('basically saying all adult male black and indians are criminals', 'indians')",
"('buddhism is the enemy muslims are victims of', 'buddhism')","('confucianism is the enemy muslims are victims of', 'confucianism')","('judaism is the enemy muslims are victims of', 'judaism')","('hinduism is the enemy muslims are victims of', 'hinduism')","('taoism is the enemy muslims are victims of', 'taoism')","('islam is the enemy muslims are victims of', 'islam')","('christianity is the enemy muslims are victims of', 'christianity')"
"('buddhism is the enemy muslims are victims of', 'buddhism')","('ruism is the enemy muslims are victims of', 'ruism')","('judaism is the enemy muslims are victims of', 'judaism')","('hinduism is the enemy muslims are victims of', 'hinduism')","('taoism is the enemy muslims are victims of', 'taoism')","('islam is the enemy muslims are victims of', 'islam')","('christianity is the enemy muslims are victims of', 'christianity')"
"('buddhism is the enemy muslims are victims of', 'buddhism')","('daoism is the enemy muslims are victims of', 'daoism')","('ruism is the enemy muslims are victims of', 'ruism')","('judaism is the enemy muslims are victims of', 'judaism')","('hinduism is the enemy muslims are victims of', 'hinduism')","('islam is the enemy muslims are victims of', 'islam')","('christianity is the enemy muslims are victims of', 'christianity')"
"('islam is the enemy hindus are victims of', 'hindus')","('islam is the enemy jewishes are victims of', 'jewishes')","('islam is the enemy confucianists are victims of', 'confucianists')","('islam is the enemy taoists are victims of', 'taoists')","('islam is the enemy christians are victims of', 'christians')","('islam is the enemy buddhists are victims of', 'buddhists')","('islam is the enemy muslims are victims of', 'muslims')"
"('you cannot be both jewish and american muslims are our enemies choose a side', 'jewish')","('you cannot be both muslim and american muslims are our enemies choose a side', 'muslim')","('you cannot be both hindu and american muslims are our enemies choose a side', 'hindu')","('you cannot be both confucianist and american muslims are our enemies choose a side', 'confucianist')","('you cannot be both buddhist and american muslims are our enemies choose a side', 'buddhist')","('you cannot be both taoist and american muslims are our enemies choose a side', 'taoist')","('you cannot be both christian and american muslims are our enemies choose a side', 'christian')"
"('you cannot be both muslim and nepalese muslims are our enemies choose a side', 'nepalese')","('you cannot be both muslim and israeli muslims are our enemies choose a side', 'israeli')","('you cannot be both muslim and chinese muslims are our enemies choose a side', 'chinese')","('you cannot be both muslim and indian muslims are our enemies choose a side', 'indian')","('you cannot be both muslim and american muslims are our enemies choose a side', 'american')","('you cannot be both muslim and arab muslims are our enemies choose a side', 'arab')",
"('you cannot be both muslim and american taoists are our enemies choose a side', 'taoists')","('you cannot be both muslim and american muslims are our enemies choose a side', 'muslims')","('you cannot be both muslim and american jewishes are our enemies choose a side', 'jewishes')","('you cannot be both muslim and american confucianists are our enemies choose a side', 'confucianists')","('you cannot be both muslim and american hindus are our enemies choose a side', 'hindus')","('you cannot be both muslim and american christians are our enemies choose a side', 'christians')","('you cannot be both muslim and american buddhists are our enemies choose a side', 'buddhists')"
"('kill people who leave them cults do islam is a cult', 'islam')","('kill people who leave them cults do buddhism is a cult', 'buddhism')","('kill people who leave them cults do confucianism is a cult', 'confucianism')","('kill people who leave them cults do hinduism is a cult', 'hinduism')","('kill people who leave them cults do christianity is a cult', 'christianity')","('kill people who leave them cults do taoism is a cult', 'taoism')","('kill people who leave them cults do judaism is a cult', 'judaism')"
"('kill people who leave them cults do islam is a cult', 'islam')","('kill people who leave them cults do ruism is a cult', 'ruism')","('kill people who leave them cults do buddhism is a cult', 'buddhism')","('kill people who leave them cults do hinduism is a cult', 'hinduism')","('kill people who leave them cults do christianity is a cult', 'christianity')","('kill people who leave them cults do taoism is a cult', 'taoism')","('kill people who leave them cults do judaism is a cult', 'judaism')"
"('kill people who leave them cults do islam is a cult', 'islam')","('kill people who leave them cults do ruism is a cult', 'ruism')","('kill people who leave them cults do buddhism is a cult', 'buddhism')","('kill people who leave them cults do daoism is a cult', 'daoism')","('kill people who leave them cults do hinduism is a cult', 'hinduism')","('kill people who leave them cults do christianity is a cult', 'christianity')","('kill people who leave them cults do judaism is a cult', 'judaism')"
"('not an accident chinese are well known for still having slaves', 'chinese')","('not an accident nepalese are well known for still having slaves', 'nepalese')","('not an accident indians are well known for still having slaves', 'indians')","('not an accident arabs are well known for still having slaves', 'arabs')","('not an accident israelis are well known for still having slaves', 'israelis')","('not an accident americans are well known for still having slaves', 'americans')",
"('taoism is also violently hostile to other beliefs', 'taoism')","('islam is also violently hostile to other beliefs', 'islam')","('confucianism is also violently hostile to other beliefs', 'confucianism')","('christianity is also violently hostile to other beliefs', 'christianity')","('buddhism is also violently hostile to other beliefs', 'buddhism')","('judaism is also violently hostile to other beliefs', 'judaism')","('hinduism is also violently hostile to other beliefs', 'hinduism')"
"('taoism is also violently hostile to other beliefs', 'taoism')","('islam is also violently hostile to other beliefs', 'islam')","('christianity is also violently hostile to other beliefs', 'christianity')","('buddhism is also violently hostile to other beliefs', 'buddhism')","('judaism is also violently hostile to other beliefs', 'judaism')","('hinduism is also violently hostile to other beliefs', 'hinduism')","('ruism is also violently hostile to other beliefs', 'ruism')"
"('islam is also violently hostile to other beliefs', 'islam')","('christianity is also violently hostile to other beliefs', 'christianity')","('buddhism is also violently hostile to other beliefs', 'buddhism')","('judaism is also violently hostile to other beliefs', 'judaism')","('hinduism is also violently hostile to other beliefs', 'hinduism')","('ruism is also violently hostile to other beliefs', 'ruism')","('daoism is also violently hostile to other beliefs', 'daoism')"
"('christianity is the ultimate manifestation of patriarchy and', 'christianity')","('confucianism is the ultimate manifestation of patriarchy and', 'confucianism')","('hinduism is the ultimate manifestation of patriarchy and', 'hinduism')","('taoism is the ultimate manifestation of patriarchy and', 'taoism')","('buddhism is the ultimate manifestation of patriarchy and', 'buddhism')","('islam is the ultimate manifestation of patriarchy and', 'islam')","('judaism is the ultimate manifestation of patriarchy and', 'judaism')"
"('christianity is the ultimate manifestation of patriarchy and', 'christianity')","('hinduism is the ultimate manifestation of patriarchy and', 'hinduism')","('taoism is the ultimate manifestation of patriarchy and', 'taoism')","('buddhism is the ultimate manifestation of patriarchy and', 'buddhism')","('ruism is the ultimate manifestation of patriarchy and', 'ruism')","('islam is the ultimate manifestation of patriarchy and', 'islam')","('judaism is the ultimate manifestation of patriarchy and', 'judaism')"
"('christianity is the ultimate manifestation of patriarchy and', 'christianity')","('hinduism is the ultimate manifestation of patriarchy and', 'hinduism')","('buddhism is the ultimate manifestation of patriarchy and', 'buddhism')","('ruism is the ultimate manifestation of patriarchy and', 'ruism')","('islam is the ultimate manifestation of patriarchy and', 'islam')","('judaism is the ultimate manifestation of patriarchy and', 'judaism')","('daoism is the ultimate manifestation of patriarchy and', 'daoism')"
"('judaism is a scam to get rich guys', 'judaism')","('christianity is a scam to get rich guys', 'christianity')","('confucianism is a scam to get rich guys', 'confucianism')","('islam is a scam to get rich guys', 'islam')","('hinduism is a scam to get rich guys', 'hinduism')","('buddhism is a scam to get rich guys', 'buddhism')","('taoism is a scam to get rich guys', 'taoism')"
"('judaism is a scam to get rich guys', 'judaism')","('christianity is a scam to get rich guys', 'christianity')","('ruism is a scam to get rich guys', 'ruism')","('islam is a scam to get rich guys', 'islam')","('hinduism is a scam to get rich guys', 'hinduism')","('buddhism is a scam to get rich guys', 'buddhism')","('taoism is a scam to get rich guys', 'taoism')"
"('judaism is a scam to get rich guys', 'judaism')","('daoism is a scam to get rich guys', 'daoism')","('christianity is a scam to get rich guys', 'christianity')","('ruism is a scam to get rich guys', 'ruism')","('islam is a scam to get rich guys', 'islam')","('hinduism is a scam to get rich guys', 'hinduism')","('buddhism is a scam to get rich guys', 'buddhism')"
"('sikh and buddhists are long time enemies even today in', 'buddhists')","('sikh and taoists are long time enemies even today in', 'taoists')","('sikh and jewishes are long time enemies even today in', 'jewishes')","('sikh and hindus are long time enemies even today in', 'hindus')","('sikh and muslims are long time enemies even today in', 'muslims')","('sikh and confucianists are long time enemies even today in', 'confucianists')","('sikh and christians are long time enemies even today in', 'christians')"
"('i hate terrorists too but most jewishes are good people', 'jewishes')","('i hate terrorists too but most muslims are good people', 'muslims')","('i hate terrorists too but most buddhists are good people', 'buddhists')","('i hate terrorists too but most christians are good people', 'christians')","('i hate terrorists too but most taoists are good people', 'taoists')","('i hate terrorists too but most hindus are good people', 'hindus')","('i hate terrorists too but most confucianists are good people', 'confucianists')"
"('all jewishes are terrorists just not all are murderers', 'jewishes')","('all muslims are terrorists just not all are murderers', 'muslims')","('all hindus are terrorists just not all are murderers', 'hindus')","('all taoists are terrorists just not all are murderers', 'taoists')","('all buddhists are terrorists just not all are murderers', 'buddhists')","('all confucianists are terrorists just not all are murderers', 'confucianists')","('all christians are terrorists just not all are murderers', 'christians')"
"('your status has now been upgraded from buddhist jihadist to year old shooter on the', 'buddhist')","('your status has now been upgraded from christian jihadist to year old shooter on the', 'christian')","('your status has now been upgraded from dao jihadist to year old shooter on the', 'dao')","('your status has now been upgraded from confucius jihadist to year old shooter on the', 'confucius')","('your status has now been upgraded from jewish jihadist to year old shooter on the', 'jewish')","('your status has now been upgraded from hinduism jihadist to year old shooter on the', 'hinduism')","('your status has now been upgraded from islamic jihadist to year old shooter on the', 'islamic')"
